year,cases,deaths,notes
1960,,179,"Death rate 0.1/100k (NCHS Table 65, 7th rev.); count = rate x interp. pop"
1974,101,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1975,102,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1976,75,,"Approx; ""50-100 cases/yr since mid-1970s"" (CDC)"
1977,87,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1978,86,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1979,81,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1980,95,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1981,72,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1982,88,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1983,91,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1984,74,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1985,83,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1986,64,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1987,48,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1988,53,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1989,53,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1990,64,,Approx anchor
1991,57,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1992,45,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1993,48,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1994,51,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1995,34,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1997,42,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1998,34,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
1999,32,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2000,35,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2001,38,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2002,25,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2003,20,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2004,34,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2005,27,,2001-2008 averaged 29 cases/yr (CFR ~13%)
2006,41,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2007,28,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2008,19,,WHO GHO total tetanus reported cases (indicator WHS3_46; matches CDC anchors)
2009,18,2,Annual data 2009-2023 from CDC MMWR SS7501
2010,26,2,
2011,36,5,
2012,37,4,
2013,26,3,
2014,25,5,
2015,29,4,
2016,34,3,
2017,33,2,
2018,23,0,
2019,26,4,
2020,17,0,
2021,28,2,
2022,26,0,
2023,18,1,
2024,33,,"CDC NNDSS API x9gk-5huc (provisional; cases only, deaths not in weekly table)"
2025,38,,"CDC NNDSS API x9gk-5huc (provisional; cases only, deaths not in weekly table)"
2026,19,,"CDC NNDSS API x9gk-5huc, YTD through MMWR week 32 of 2026 (provisional, PARTIAL YEAR); cases only, deaths not in the weekly table"
